Code CIQUAL,Groupe d'aliment,Sous-groupe d'aliment,Nom du Produit en Français,code saison,code avion,Livraison,Approche emballage ,Préparation,DQR,Score unique EF,Changement climatique,Appauvrissement de la couche d'ozone,Rayonnements ionisants,Formation photochimique d'ozone,Particules fines,Effets toxicologiques sur la santé humaine : substances non-cancérogènes,Effets toxicologiques sur la santé humaine : substances cancérogènes,Acidification terrestre et eaux douces,Eutrophisation eaux douces,Eutrophisation marine,Eutrophisation terrestre,Écotoxicité pour écosystèmes aquatiques d'eau douce,Utilisation du sol,Épuisement des ressources eau,Épuisement des ressources énergétiques,Épuisement des ressources minéraux,Changement climatique - émissions biogéniques,Changement climatique - émissions fossiles,Changement climatique - émissions liées au changement d'affectation des sols,Sous-sous-groupe d'aliment,Energie (kcal/100 g),Protéines (g/100 g),Glucides (g/100 g),Lipides (g/100 g),Fibres alimentaires (g/100 g)
13038,"fruits, légumes, légumineuses et oléagineux",fruits,Compote de pomme,2,0,Glacé,PACK AGB,Pas de préparation,1.87,0.138,1.17,1.48e-07,0.661,0.00385,7.06e-08,1.4e-08,7.66e-10,0.00678,0.000224,0.00273,0.0238,12.1,25.1,0.914,28.0,8.32e-06,0.0322,1.13,0.00291,compotes et assimilés,102.0,0.23,24.4,0.21,1.53
13108,"fruits, légumes, légumineuses et oléagineux",fruits,"Compote, tout type de fruits",2,0,Glacé,PACK AGB,Pas de préparation,2.44,0.129,1.1,1.47e-07,0.664,0.00357,5.56e-08,1.69e-08,8.18e-10,0.00478,0.000206,0.00205,0.015,10.5,23.4,1.1,27.6,8.1e-06,0.0338,1.07,-0.00439,compotes et assimilés,102.0,,23.9,0.09,2.0
13109,"fruits, légumes, légumineuses et oléagineux",fruits,"Compote, tout type de fruits, allégée en sucres",2,0,Ambiant (long),PACK AGB,Pas de préparation,2.56,0.123,1.1,1.49e-07,0.586,0.00355,5.41e-08,1.71e-08,8.01e-10,0.00449,0.000201,0.00205,0.0141,12.9,24.3,0.777,26.0,7.59e-06,0.0377,1.05,0.00282,compotes et assimilés,66.0,,15.3,0.08,1.6
13129,"fruits, légumes, légumineuses et oléagineux",fruits,"Compote, tout type de fruits, allégée en sucres, rayon frais",2,0,Glacé,PACK AGB,Pas de préparation,2.56,0.128,1.12,1.49e-07,0.662,0.00358,5.49e-08,1.77e-08,8.14e-10,0.00457,0.000206,0.00206,0.0143,13.0,24.4,0.779,27.6,8.17e-06,0.0377,1.08,0.00282,compotes et assimilés,,0.32,14.9,0.48,1.4
13011,"fruits, légumes, légumineuses et oléagineux",fruits,"Datte, pulpe et peau, sèche",2,0,Ambiant (moyen),PACK AGB,Pas de préparation,3.61,0.359,2.89,0.000243,0.153,0.00748,8.96e-08,5.92e-08,7.59e-10,0.011,0.00041,0.00278,0.0368,9.26,88.6,-17.2,19.1,9.92e-06,0.0227,2.86,0.00428,fruits séchés,,1.81,64.7,0.25,7.3
13152,"fruits, légumes, légumineuses et oléagineux",fruits,"Dessert de fruits, tout type de fruits (en taux de sucres : compotes allégées en sucres < desserts de fruits < compotes allégée)",2,0,Glacé,PACK AGB,Pas de préparation,2.1,0.156,1.27,2e-07,0.666,0.00413,7.02e-08,1.65e-08,8.11e-10,0.0064,0.000241,0.00337,0.021,27.4,38.9,1.78,29.1,8.05e-06,0.0183,1.2,0.0464,compotes et assimilés,,0.32,19.5,0.2,1.61
13063,"fruits, légumes, légumineuses et oléagineux",fruits,"Figue de Barbarie, pulpe et graines, crue",2,0,Ambiant (moyen),PACK AGB,Pas de préparation,3.22,0.0493,0.387,2.1e-08,0.0403,0.00171,2.73e-08,7.26e-09,4.47e-10,0.00244,4.8e-05,0.000806,0.00934,6.09,16.9,1.42,5.2,2.26e-06,0.034,0.371,-0.0175,fruits crus,,0.37,6.0,0.31,4.45
13012,"fruits, légumes, légumineuses et oléagineux",fruits,"Figue, crue",2,0,Ambiant (moyen),PACK AGB,Pas de préparation,3.49,0.147,0.611,2.32e-08,0.105,0.0023,2.9e-08,1.82e-08,7.42e-10,0.00225,0.000106,0.00934,0.00735,25.2,155.0,8.03,8.21,3.73e-06,0.0779,0.545,-0.0115,fruits crus,69.4,1.19,13.5,,4.1
13013,"fruits, légumes, légumineuses et oléagineux",fruits,"Figue, sèche",2,0,Ambiant (moyen),PACK AGB,Pas de préparation,3.62,0.373,1.08,2.54e-08,0.247,0.00379,5.03e-08,4.44e-08,1.86e-09,0.0043,0.000287,0.0257,0.0125,66.4,438.0,22.8,18.0,8.67e-06,0.0261,1.08,-0.0303,fruits séchés,,2.99,54.3,0.87,9.72
13014,"fruits, légumes, légumineuses et oléagineux",fruits,"Fraise, crue",2,0,Ambiant (moyen),PACK AGB,Pas de préparation,2.41,0.128,0.533,2.38e-08,0.0896,0.00246,5.6e-08,1.74e-08,5.22e-10,0.00668,0.000101,0.00492,0.0268,12.2,77.4,6.66,8.06,3.24e-06,0.0145,0.518,0.000325,fruits crus,38.6,0.63,6.03,,3.8
